Timecode List:,00:00:02.120,00:00:06.480,00:00:13.920,00:00:14.520,00:00:15.400,00:00:16.880,00:00:17.800,00:00:19.520,00:00:20.600,00:00:21.920,00:00:22.920,00:00:27.400,00:00:29.720
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,53,00:00:02.120,2.120,53,00:00:02.120,2.120
2,54,00:00:02.120,2.120,162,00:00:06.480,6.480,109,00:00:04.360,4.360
3,163,00:00:06.480,6.480,348,00:00:13.920,13.920,186,00:00:07.440,7.440
4,349,00:00:13.920,13.920,363,00:00:14.520,14.520,15,00:00:00.600,0.600
5,364,00:00:14.520,14.520,385,00:00:15.400,15.400,22,00:00:00.880,0.880
6,386,00:00:15.400,15.400,422,00:00:16.880,16.880,37,00:00:01.480,1.480
7,423,00:00:16.880,16.880,445,00:00:17.800,17.800,23,00:00:00.920,0.920
8,446,00:00:17.800,17.800,488,00:00:19.520,19.520,43,00:00:01.720,1.720
9,489,00:00:19.520,19.520,515,00:00:20.600,20.600,27,00:00:01.080,1.080
10,516,00:00:20.600,20.600,548,00:00:21.920,21.920,33,00:00:01.320,1.320
11,549,00:00:21.920,21.920,573,00:00:22.920,22.920,25,00:00:01.000,1.000
12,574,00:00:22.920,22.920,685,00:00:27.400,27.400,112,00:00:04.480,4.480
13,686,00:00:27.400,27.400,743,00:00:29.720,29.720,58,00:00:02.320,2.320
14,744,00:00:29.720,29.720,748,00:00:29.920,29.920,5,00:00:00.200,0.200
